accuracy,precision,recall,f1_macro,train_start,train_end,test_start,test_end,train_rows,test_rows
0.2381,0.5212,0.3536,0.1587,2024-04-23,2024-06-23,2024-06-23,2024-07-23,15420,7431
0.3462,0.3562,0.3391,0.3397,2024-05-23,2024-07-23,2024-07-23,2024-08-23,15306,8190
0.3465,0.3932,0.369,0.2934,2024-06-23,2024-08-23,2024-08-23,2024-09-23,15681,7815
0.2889,0.2858,0.2913,0.2829,2024-07-23,2024-09-23,2024-09-23,2024-10-23,16065,7815
0.3309,0.2691,0.3292,0.2087,2024-08-23,2024-10-23,2024-10-23,2024-11-23,15690,7440
0.3711,0.376,0.3605,0.3515,2024-09-23,2024-11-23,2024-11-23,2024-12-23,15315,7440
0.3581,0.376,0.3643,0.3573,2024-10-23,2024-12-23,2024-12-23,2025-01-23,14940,7940
0.3485,0.3577,0.3516,0.33,2024-11-23,2025-01-23,2025-01-23,2025-02-23,15440,8315
0.2907,0.2602,0.2813,0.2164,2024-12-23,2025-02-23,2025-02-23,2025-03-23,16315,6690
0.3744,0.3948,0.3798,0.3725,2025-01-23,2025-03-23,2025-03-23,2025-04-23,15065,6690
0.4146,0.3764,0.3794,0.3383,2025-02-23,2025-04-23,2025-04-23,2025-05-23,13440,7815
0.2855,0.373,0.3483,0.2634,2025-03-23,2025-05-23,2025-05-23,2025-06-23,14565,7565
0.3386,0.4598,0.3795,0.2751,2025-04-23,2025-06-23,2025-06-23,2025-07-23,15440,8190
0.4147,0.4291,0.3876,0.3652,2025-05-23,2025-07-23,2025-07-23,2025-08-23,15815,8190
0.4269,0.3915,0.3932,0.3888,2025-06-23,2025-08-23,2025-08-23,2025-09-23,16440,7440
0.3785,0.3318,0.3575,0.319,2025-07-23,2025-09-23,2025-09-23,2025-10-23,15690,7137
0.3871,0.3956,0.4043,0.3822,2025-08-23,2025-10-23,2025-10-23,2025-11-23,14637,7815
0.3707,0.3396,0.338,0.3337,2025-09-23,2025-11-23,2025-11-23,2025-12-23,15012,7565
0.375,0.3516,0.3571,0.352,2025-10-23,2025-12-23,2025-12-23,2026-01-23,15440,7815
0.3364,0.3754,0.3414,0.3297,2025-11-23,2026-01-23,2026-01-23,2026-02-23,15440,7815
0.3445,0.3767,0.3602,0.3017,2025-12-23,2026-02-23,2026-02-23,2026-03-23,15690,7065
0.3921,0.4153,0.3613,0.343,2026-01-23,2026-03-23,2026-03-23,2026-04-23,14940,7065
